"","num","RA","Dec"
"184",184,264.57065808896,-3.06799262461557
"185",185,264.570923131926,-3.22259269537846
"186",186,264.571390529932,-3.39715847249036
"187",187,264.570801340487,-3.18272193385726
"188",188,264.570739451811,-3.22126394969179
"189",189,264.570288225279,-3.06328153137677
"190",190,264.570507192824,-3.18031612601437
"191",191,264.570672517826,-3.25835986865706
"192",192,264.570297216068,-3.2056071919081
"193",193,264.570347069706,-3.24195715479585
"194",194,264.570257093819,-3.2892770524627
"195",195,264.570223889954,-3.28028749495739
"196",196,264.570036272657,-3.33320435067319
"197",197,264.569351560124,-3.0819805810712
"198",198,264.570169020111,-3.39303312361507
"199",199,264.56939847601,-3.11084225596554
"200",200,264.569798981511,-3.26604797831817
"201",201,264.57000329647,-3.39853998902243
